Stage	Dialogue Box	Dialogue Key	What is being said 	Required action	What happens in the game/Action
N/A	Console	blank	 		
Controls	Console	ai online	Commencing system check . . .~AI unit: online.~Vitals: green.		UI border appears, dialogue box Console appears in top left
Controls	Console	calibrate movement	Initialising movement system . . .~Movement calibration required.~Task: move using WASD.		Prompt appears above POD (with transition in sem 2) with image showing how to move
Controls	Game	wasd	Move using WASD.	Move in each direction	Flashing bottom left corner of the image (sem 2)
Controls	W	w	W		
Controls	A	a	A		
Controls	S	s	S		
Controls	D	d	D		
Controls	Console	systems online	Movement calibrated.~System check complete.~All systems online.~Connecting to S.E.E.R. . . .~Welcome Protective.Observation.Drone.~Human Cryo Status: green.		Prompt closes
Controls	Console	planet livability	Initialising External Environment Scanner . . .~Planet P.R.I.M.E detected.~Launching planetlivability.exe . . .		Clear Console first
Controls	Console	launch cat	<PLANET IS UNABLE TO SUPPORT LIFE.>~Terraforming protocol updated.~Launching C.A.T.exe . . .		
Controls	CAT	need minerals	Hello! I am the Construction Assistant Technician. Here to assist with all your terraforming needs!		
Controls	CAT	need minerals	Your mission is to terraform this planet and make it habitable for the humans in the terraforming tower.		
Controls	CAT	need minerals	This planet is currently inadequate for human life, fortunately you have been equipped with me!		
Controls	CAT	need minerals	Firstly, we are going to need some building materials.		
Controls	Console	scan minerals	Scanning for mineral deposits.		Minimap Appears
Controls	Console	minerals detected	Detected +minerals&.		Minimap Detection + Mineral Layer (Minimap detection has layers)
Controls	CAT	gather minerals	Please gather 4 +minerals&.		
Controls	Console	task gather minerals	Task: gather 4 +minerals&.		Clear console first
Controls	Game	lmb	Hold LMB to gather +minerals&.	Gather minerals	Image of LMB appears above POD when near mining node
Controls	CAT	collected minerals	Good job! Any +minerals& you collect will be displayed here.		Clear Console, game highlights the resource area after the first strike
Resource Buildings	CAT	enough for building	Perfect, this should be enough to construct your first building.		
Resource Buildings	CAT	building blueprints	Stored in my memory are blueprints of buildings that can be used to make this barren planet a paradise for your humans.		Building UI Appears, Building Icons are still hidden
Resource Buildings	Console	task build fusion reactor	Task: build a [fusion reactor].		Clear Console first
Resource Buildings	CAT	build fusion reactor	First, you'll need power. Please build a [fusion reactor].	Build a fusion reactor	Highlights fusion reactor icon, player can only select reactor
Resource Buildings	CAT	resource buildings	Awesome. Now that you've got power, you'll need these buildings to collect resources for your base.		Highlights ice drill, harvester & gas pump
Resource Buildings	CAT	resource buildings	Keep in mind that you'll need to build on areas with the appropriate resources.		
Resource Buildings	Console	task build ice drill	Task: build an /ice drill\.		Clear Console first
Resource Buildings	CAT	build ice drill	Try building an /ice drill\! Look for a blue patch.	Build an ice drill	Highlights ice drill icon, player can only select drill
Resource Buildings	Console	task build gas pump	Task: build a @gas pump$.		Clear Console first
Resource Buildings	CAT	build gas pump	Now, build a @gas pump$! Look for a green patch.	Build a gas pump	Highlights gas pump icon, player can only select gas pump
Terraforming	CAT	got resources	Wonderful! Now let's look at the buildings that will contribute progress to the terraforming tower.		Highlights terraforming buildings
Terraforming	Console	task build boiler	Task: build a /boiler\.		Clear Console first
Terraforming	CAT	build boiler	Because you have enough /water\ and @gas$, I'll get you to build a /boiler\ first.		Highlights boiler icon, player can only select drill
